,id,url,uncertain_col,aggregate_col
0,7349653141559741704.mp4_scene_14,7349653141559741704,shot_scale_vlm_1b_06,shot_scale_vlm_1b_qwen2
1,7349653141559741704.mp4_scene_14,7349653141559741704,shot_scale_vlm_1b_08,shot_scale_vlm_1b_qwen2
2,7347367797426736386.mp4_scene_21,7347367797426736386,shot_scale_vlm_1a_06,shot_scale_vlm_1a_qwen2
3,7347367797426736386.mp4_scene_21,7347367797426736386,shot_scale_vlm_1a_07,shot_scale_vlm_1a_qwen2
4,7347367797426736386.mp4_scene_21,7347367797426736386,shot_scale_vlm_1a_08,shot_scale_vlm_1a_qwen2
5,7347367797426736386.mp4_scene_28,7347367797426736386,shot_scale_vlm_1b_07,shot_scale_vlm_1b_qwen2
6,7347367797426736386.mp4_scene_28,7347367797426736386,shot_scale_vlm_1b_08,shot_scale_vlm_1b_qwen2
7,7347367797426736386.mp4_scene_30,7347367797426736386,shot_scale_vlm_1a_06,shot_scale_vlm_1a_qwen2
8,7347367797426736386.mp4_scene_30,7347367797426736386,shot_scale_vlm_1a_07,shot_scale_vlm_1a_qwen2
9,7347367797426736386.mp4_scene_30,7347367797426736386,shot_scale_vlm_1a_08,shot_scale_vlm_1a_qwen2
10,7347367797426736386.mp4_scene_30,7347367797426736386,shot_scale_vlm_1b_07,shot_scale_vlm_1b_qwen2
11,7347367797426736386.mp4_scene_41,7347367797426736386,shot_scale_vlm_1a_06,shot_scale_vlm_1a_qwen2
12,7347367797426736386.mp4_scene_41,7347367797426736386,shot_scale_vlm_1a_07,shot_scale_vlm_1a_qwen2
13,7347367797426736386.mp4_scene_41,7347367797426736386,shot_scale_vlm_1a_08,shot_scale_vlm_1a_qwen2
